category,month,stockout_days,days_of_supply,fill_rate,month_peak,seasonality_idx_peak,peak_to_trough_ratio,priority_score,recommended_action,kpi_target,context_note
GenZ,6,1.345537757437071,431.66544622425624,0.9551505720823799,6,1.7530923034849284,5.358016857000218,2.07596559668657,Pre-build inventory 4-6 weeks before peak month; tighten safety stock and supplier lead-time monitoring,Reduce stockout_days by >=20%; keep fill_rate >=96%,Q4 stockout months show avg next-month growth around -0.89%
Streetwear,4,1.4076809453471197,665.5193131462333,0.9530775110782865,5,1.5530505954837603,3.1637807579535844,1.3708253619678294,Pre-build inventory 4-6 weeks before peak month; tighten safety stock and supplier lead-time monitoring,Reduce stockout_days by >=20%; keep fill_rate >=96%,Q4 stockout months show avg next-month growth around -0.89%
GenZ,5,1.2736077481840193,527.8266343825666,0.9575450363196125,6,1.7530923034849284,5.358016857000218,1.1623745548045217,Maintain stock policy; run monthly check on stockout spikes and adjust replenishment only for fast movers,Keep stockout_days stable and avoid overstock expansion,Q4 stockout months show avg next-month growth around -0.89%
GenZ,4,1.2542372881355932,447.45472154963676,0.9581929782082325,6,1.7530923034849284,5.358016857000218,0.9163481888809635,Maintain stock policy; run monthly check on stockout spikes and adjust replenishment only for fast movers,Keep stockout_days stable and avoid overstock expansion,Q4 stockout months show avg next-month growth around -0.89%
Casual,4,1.3843648208469055,276.51530944625404,0.953856026058632,5,1.5060004149692192,2.6311804968097574,0.7231924915400562,Pre-build inventory 4-6 weeks before peak month; tighten safety stock and supplier lead-time monitoring,Reduce stockout_days by >=20%; keep fill_rate >=96%,Q4 stockout months show avg next-month growth around -0.89%
Streetwear,8,1.31721536351166,610.1693072702332,0.9560934156378601,5,1.5530505954837603,3.1637807579535844,0.2218119526581815,Pre-build inventory 4-6 weeks before peak month; tighten safety stock and supplier lead-time monitoring,Reduce stockout_days by >=20%; keep fill_rate >=96%,Q4 stockout months show avg next-month growth around -0.89%
Outdoor,12,1.4142785319255908,841.6428858722976,0.9528575163398693,12,1.3812054811148688,1.8411291246868353,0.1708392063175037,Pre-build inventory 4-6 weeks before peak month; tighten safety stock and supplier lead-time monitoring,Reduce stockout_days by >=20%; keep fill_rate >=96%,Q4 stockout months show avg next-month growth around -0.89%
Streetwear,5,1.3099065420560747,702.8049345794392,0.9563360747663552,5,1.5530505954837603,3.1637807579535844,0.12898179904250318,Maintain stock policy; run monthly check on stockout spikes and adjust replenishment only for fast movers,Keep stockout_days stable and avoid overstock expansion,Q4 stockout months show avg next-month growth around -0.89%
Casual,11,1.3309608540925266,694.4220640569396,0.9556345195729538,5,1.5060004149692192,2.6311804968097574,0.04490277443290436,Pre-build inventory 4-6 weeks before peak month; tighten safety stock and supplier lead-time monitoring,Reduce stockout_days by >=20%; keep fill_rate >=96%,Q4 stockout months show avg next-month growth around -0.89%
Casual,5,1.2233333333333334,337.14,0.9592219999999999,5,1.5060004149692192,2.6311804968097574,-1.3220863285387665,Maintain stock policy; run monthly check on stockout spikes and adjust replenishment only for fast movers,Keep stockout_days stable and avoid overstock expansion,Q4 stockout months show avg next-month growth around -0.89%
Outdoor,11,1.229037703995498,1205.8752954417557,0.9590319639842432,12,1.3812054811148688,1.8411291246868353,-2.181925137037099,Maintain stock policy; run monthly check on stockout spikes and adjust replenishment only for fast movers,Keep stockout_days stable and avoid overstock expansion,Q4 stockout months show avg next-month growth around -0.89%
Outdoor,10,1.1401238041643218,1270.9541924592008,0.9619951603826674,12,1.3812054811148688,1.8411291246868353,-3.3112304607551564,Maintain stock policy; run monthly check on stockout spikes and adjust replenishment only for fast movers,Keep stockout_days stable and avoid overstock expansion,Q4 stockout months show avg next-month growth around -0.89%
